full_text,sentiment
case new terminal bangalore airport card works t1 domestic lounge accepted t2 major food options available around well pay 900 rupees 1 breakfast,Negative
blrdomesticlounge good experience domestic lounge facility bangalore airport met akhil ps whose service commendable,Positive
spent one hour bangalore airport lounge nice place crowded food good staff courteous well behaved blrairport,Positive
love bangalore airport lounge comfortable food good blrairport,Positive
adani lounge fascility given eligible debit wife name refused said wife present card accesed bangalore airport said statement rapidly allowed,Negative
vatsal_sanghvi available lounge bangalore airport,Neutral
airports premium lounges already banks spending money give access favor instead paying banks hoping get free access pay example 1800 rs bangalore airport,Positive
bangalore airport lounge best domestic lounge vibe food,Positive
bangalore airport lounge food gt mumbai gt chennai,Positive
denied access bangalore airport t2 lounge today using hdfc platinum debit card 1st time changes lounge access policies,Negative
best singapore one class apart bangalore airport plaza premium lounge beats food,Positive
happy announce digiyatra security check 080 lounge bangalore airport continue honeymoon phase hardly queues wonder long last,Positive
niyosupport denied access bangalore airport lounge flying domestic reason,Negative
domestic lounge excellent lounge bangalore airport t1 amazing buffet live stations stir fry adai great service lots space eat relax sparkling restrooms kudos mr pratyush staff thank making travels india enjoyable,Positive
hey 1 terminal added bangalore airport need extend lounge facility acess terminal imagine card boasting lounge access use terminal place 5 months get incorporated,Positive
blrairport clean nice lounge bangalore airport staff pro food delicious,Positive
khana kam karo sir ji bangalore airport ke lounge kya kuchh nahin thush rahe aap kidding wanted say saw lounge resting,Positive
bangalore airport lounge food even 2 worth,Positive
rbl bank bangalore airport terminal 2 able access lounge rbl credit card super card called customer support able help please solve problem customer giving membership experience like,Positive
amazing facilities 080 lounge terminal 1 bangalore airport loved reading section food great blrairport 080domesticloungeterminal1,Positive
really true panorama bangalore airport lounge stitched multiple pics showing people sleeping seats late night,Negative
lounges waiting time getting encalm lounge something learned bangalore airport lounge facilities,Neutral
told idfc millenia credit card holders entitled free entry airport lounges however bangalore airport officials denied card,Positive
talking bad design look put mobile charging points lounge terminal 2 bangalore airport baddesign design bial,Negative
mumbai airport authorities need learn following bangalore airport 1 ola uber facilities chaos seen mumbai every day 2 premium lounge facilities much better innovative 3 queues entry better managed aviation,Positive
mother stranded bangalore airport checkin amp security flight cancelled 1 hr departure need help access lounge get food facilities airport next flight could arrange 8 hrs,Positive
observed phone banking representative contacted assist personally would like inform bangalore airport terminal 2 available list acceptable lounges request visit link view list lounges accepted,Positive
amexindia lounge platinum card holders bangalore airport terminal 2 amazing service super premium card deserve banned rbi,Positive
080 lounge terminal 2 bangalore airport fantastic uthappam prepared great guy,Positive
bangalore airport lounge miss opportunity meet,Positive
saw anurag kashyap bangalore airport lounge let see sitting next flight lol,Positive
flying 080 domestic lounge bangalore airport kempegowda international airportÂ bengaluru,Neutral
bangalore airport 080 international lounge,Neutral
080 lounge bangalore airport undoubtedly finest country restricted access handful credit cards country priority passes queues beast area 10 10,Negative
first time bangalore airport t2 appealing feel pretty small number lines security checks seem less 080 lounge felt small really hope planned keeping future scale mind immediate stop gap,Positive
bangalore airport domestic lounge average,Neutral
niyosupport please let know debit amp credit card issued amp sbm works 080 lounge bangalore airport,Positive
please list axis cards debit amp credit works 080 lounge bangalore airport,Positive
swiped three cards enter bangalore airport lounge 9 hour layover enter airport lounge three hours left departure flight since become strictly followed 1 card 3 hours,Neutral
going back 080 lounge bangalore airport period peakbengaluru livefromalounge bangalore airports,Negative
Jun 9 Nice Design overall T2 Airport looks like Bambooluru airport instead Bengaluru Airport hospitality,Neutral
Luxury Business Hotel Hotels near Bangalore International Airport finest Hotels Bangalore,Neutral
Hotel Golden Evana provides hotel close Bangalore airport 20 minutes drive corporate travelers finding convenient time saving,Positive
Red Key budget friendly 2 star hotel Bangalore Near Airport well decorated property boasts warm hospitality modern amenities,Positive
Taj Bangalore mere walk away Kempe Gowda International Airport 154 key luxury hotel offering unmatched metropolitan hospitality,Positive
